sample_id,fast5_dir,fast5_dirname,ont_barcode
PLA-1A,/path/to/all_fast5,all_fast5,barcode01
PLA-1B,/path/to/all_fast5,all_fast5,barcode02
PLA-1C,/path/to/all_fast5,all_fast5,barcode03
PLA-1D,/path/to/all_fast5,all_fast5,barcode04
PLA-1E,/path/to/all_fast5,all_fast5,barcode05
PLA-1F,/path/to/all_fast5,all_fast5,barcode06
PLA-1G,/path/to/all_fast5,all_fast5,barcode07
PLA-1H,/path/to/all_fast5,all_fast5,barcode08
PLA-2A,/path/to/all_fast5,all_fast5,barcode09
PLA-2B,/path/to/all_fast5,all_fast5,barcode10
PLA-2C,/path/to/all_fast5,all_fast5,barcode11
PLA-2D,/path/to/all_fast5,all_fast5,barcode12
PLA-2E,/path/to/all_fast5,all_fast5,barcode13
PLA-2F,/path/to/all_fast5,all_fast5,barcode14
PLA-2G,/path/to/all_fast5,all_fast5,barcode15
PLA-2H,/path/to/all_fast5,all_fast5,barcode16
PLA-3A,/path/to/all_fast5,all_fast5,barcode17
PLA-3B,/path/to/all_fast5,all_fast5,barcode18
PLA-3C,/path/to/all_fast5,all_fast5,barcode19
PLA-3D,/path/to/all_fast5,all_fast5,barcode20
PLA-3E,/path/to/all_fast5,all_fast5,barcode21
PLA-3F,/path/to/all_fast5,all_fast5,barcode22
PLA-3G,/path/to/all_fast5,all_fast5,barcode23
PLA-3H,/path/to/all_fast5,all_fast5,barcode24